,C,H,N,O,S,P,Intensity
800,17,20,2,9,0,0,3592685.3333333335
803,17,21,1,8,0,0,3186482.0
804,17,21,1,9,0,0,3995092.3333333335
805,17,21,1,10,0,0,3658335.6666666665
808,17,22,0,6,0,0,4834538.0
809,17,22,0,7,0,0,10456453.666666666
810,17,22,0,8,0,0,17636213.666666668
811,17,22,0,9,0,0,24301549.0
812,17,22,0,10,0,0,23986045.0
813,17,22,0,11,0,0,16386328.333333334
822,17,24,0,6,0,0,4462074.0
823,17,24,0,7,0,0,8344953.666666667
824,17,24,0,8,0,0,11587363.666666666
825,17,24,0,9,0,0,12257624.666666666
826,17,24,0,10,0,0,9052972.666666666
829,18,14,0,12,0,0,9465599.333333334
830,18,14,0,13,0,0,7899336.0
834,18,16,0,8,0,0,11181719.333333334
835,18,16,0,9,0,0,14236662.666666666
836,18,16,0,10,0,0,17059683.333333332
837,18,16,0,11,0,0,17959554.333333332
838,18,16,0,12,0,0,16187357.0
839,18,16,0,13,0,0,14181309.0
840,18,16,0,14,0,0,9788908.666666666
843,18,17,1,8,0,0,4450470.333333333
844,18,17,1,9,0,0,6031798.333333333
845,18,17,1,10,0,0,6482649.333333333
846,18,17,1,11,0,0,5006196.666666667
847,18,17,1,12,0,0,3542254.6666666665
849,18,18,0,6,0,0,4097961.3333333335
850,18,18,0,7,0,0,8672086.333333334
851,18,18,0,8,0,0,21789316.333333332
852,18,18,0,9,0,0,22157993.333333332
853,18,18,0,10,0,0,27240462.0
854,18,18,0,11,0,0,28277864.666666668
855,18,18,0,12,0,0,25493663.0
856,18,18,0,13,0,0,18404352.0
857,18,18,0,14,0,0,11082668.0
859,18,18,2,8,0,0,4746924.0
860,18,18,2,9,0,0,5527673.0
861,18,18,2,10,0,0,4381786.333333333
863,18,19,1,7,0,0,3053890.3333333335
864,18,19,1,8,0,0,4779528.0
865,18,19,1,9,0,0,6024135.333333333
866,18,19,1,10,0,0,6410795.666666667
867,18,19,1,11,0,0,4742211.333333333
868,18,19,1,12,0,0,3543520.0
871,18,20,0,6,0,0,5322358.333333333
872,18,20,0,7,0,0,10563885.666666666
873,18,20,0,8,0,0,26584021.0
874,18,20,0,9,0,0,31695867.666666668
875,18,20,0,10,0,0,38352361.0
876,18,20,0,11,0,0,36467573.666666664
877,18,20,0,12,0,0,28501661.0
878,18,20,0,13,0,0,17253439.0
881,18,20,2,6,0,0,2016175.0
882,18,20,2,7,0,0,3138916.3333333335
883,18,20,2,8,0,0,4360738.666666667
884,18,20,2,9,0,0,4729827.666666667
885,18,20,2,10,0,0,3885879.3333333335
887,18,21,1,7,0,0,3148087.3333333335
888,18,21,1,8,0,0,4421472.0
889,18,21,1,9,0,0,5352543.0
890,18,21,1,10,0,0,4639055.333333333
891,18,21,1,11,0,0,3702520.3333333335
893,18,22,0,5,0,0,2535359.0
894,18,22,0,6,0,0,6239414.0
895,18,22,0,7,0,0,12855765.0
896,18,22,0,8,0,0,24340444.666666668
897,18,22,0,9,0,0,33632916.333333336
898,18,22,0,10,0,0,38773659.0
899,18,22,0,11,0,0,31260589.333333332
900,18,22,0,12,0,0,19004548.666666668
903,18,22,2,7,0,0,2651841.6666666665
904,18,22,2,8,0,0,3270348.3333333335
905,18,22,2,9,0,0,3101299.3333333335
907,18,23,1,7,0,0,2872633.3333333335
908,18,23,1,8,0,0,3422720.6666666665
909,18,23,1,9,0,0,3700432.3333333335
910,18,23,1,10,0,0,3251611.3333333335
913,18,24,0,6,0,0,7723796.0
914,18,24,0,7,0,0,13633523.666666666
915,18,24,0,8,0,0,22286657.0
916,18,24,0,9,0,0,25833756.0
917,18,24,0,10,0,0,24611788.666666668
918,18,24,0,11,0,0,14360166.666666666
919,18,24,0,12,0,0,7591854.0
926,18,26,0,6,0,0,7486524.333333333
927,18,26,0,7,0,0,11116081.0
928,18,26,0,8,0,0,14176938.666666666
929,18,26,0,9,0,0,12874979.666666666
930,18,26,0,10,0,0,8802596.0
933,18,26,4,7,0,0,2848723.3333333335
934,19,14,0,14,0,0,5200044.0
936,19,16,0,10,0,0,13599618.666666666
937,19,16,0,11,0,0,13377032.666666666
938,19,16,0,12,0,0,12942795.666666666
939,19,16,0,13,0,0,11814892.333333334
940,19,16,0,14,0,0,9394545.0
941,19,16,0,15,0,0,6325614.0
943,19,17,1,10,0,0,5165100.333333333
944,19,17,1,11,0,0,4993779.666666667
945,19,17,1,12,0,0,3611251.0
947,19,18,0,6,0,0,3708965.3333333335
948,19,18,0,7,0,0,8783225.0
949,19,18,0,8,0,0,15229604.333333334
950,19,18,0,9,0,0,21572604.333333332
951,19,18,0,10,0,0,22528800.666666668
952,19,18,0,11,0,0,21207470.333333332
953,19,18,0,12,0,0,20480883.666666668
954,19,18,0,13,0,0,17343890.333333332
955,19,18,0,14,0,0,13141233.0
956,19,18,0,15,0,0,8074565.666666667
958,19,18,2,10,0,0,4104899.6666666665
959,19,18,2,11,0,0,3737168.6666666665
960,19,19,1,7,0,0,3105788.3333333335
961,19,19,1,8,0,0,4831125.666666667
962,19,19,1,9,0,0,6041439.0
963,19,19,1,10,0,0,5763383.666666667
964,19,19,1,11,0,0,5419170.0
965,19,19,1,12,0,0,4007615.0
967,19,20,0,5,0,0,2054401.3333333333
968,19,20,0,6,0,0,5152520.0
969,19,20,0,7,0,0,12459689.666666666
970,19,20,0,8,0,0,20388873.666666668
971,19,20,0,9,0,0,33809608.333333336
972,19,20,0,10,0,0,33921675.333333336
973,19,20,0,11,0,0,31778102.333333332
974,19,20,0,12,0,0,27491944.333333332
975,19,20,0,13,0,0,20847428.0
976,19,20,0,14,0,0,13594752.0
977,19,20,0,15,0,0,6596898.666666667
978,19,20,2,6,0,0,2070696.6666666667
979,19,20,2,7,0,0,3316861.3333333335
980,19,20,2,8,0,0,4371003.333333333
981,19,20,2,9,0,0,4648121.333333333
982,19,20,2,10,0,0,4521421.333333333
983,19,20,2,11,0,0,3243502.3333333335
985,19,21,1,7,0,0,3672078.6666666665
986,19,21,1,8,0,0,5148785.0
987,19,21,1,9,0,0,5812621.0
988,19,21,1,10,0,0,5292920.333333333
989,19,21,1,11,0,0,4842053.666666667
990,19,21,1,12,0,0,3442453.3333333335
991,19,21,3,7,0,0,2074721.0
995,19,22,0,6,0,0,7513956.666666667
996,19,22,0,7,0,0,16028993.333333334
997,19,22,0,8,0,0,25082556.0
998,19,22,0,9,0,0,41068573.0
999,19,22,0,10,0,0,41559835.333333336
1000,19,22,0,11,0,0,38645922.333333336
1001,19,22,0,12,0,0,29507244.0
1002,19,22,0,13,0,0,17004121.0
1003,19,22,0,14,0,0,8550087.666666666
1005,19,22,2,7,0,0,3051879.3333333335
1006,19,22,2,8,0,0,3579523.3333333335
1007,19,22,2,9,0,0,3569075.6666666665
1008,19,22,2,10,0,0,3477707.0
1011,19,23,1,7,0,0,3317957.3333333335
1012,19,23,1,8,0,0,4649259.666666667
1013,19,23,1,9,0,0,4601055.333333333
1014,19,23,1,10,0,0,4174577.6666666665
1015,19,23,1,11,0,0,3269601.3333333335
1017,19,24,0,5,0,0,3804118.0
1018,19,24,0,6,0,0,8995132.666666666
