,C,H,N,O,S,P,Intensity
973,19,20,0,11,0,0,31778102.333333332
974,19,20,0,12,0,0,27491944.333333332
975,19,20,0,13,0,0,20847428.0
976,19,20,0,14,0,0,13594752.0
977,19,20,0,15,0,0,6596898.666666667
979,19,20,2,7,0,0,3316861.3333333335
980,19,20,2,8,0,0,4371003.333333333
981,19,20,2,9,0,0,4648121.333333333
982,19,20,2,10,0,0,4521421.333333333
983,19,20,2,11,0,0,3243502.3333333335
984,19,20,2,12,0,0,2210336.6666666665
985,19,21,1,7,0,0,3672078.6666666665
986,19,21,1,8,0,0,5148785.0
987,19,21,1,9,0,0,5812621.0
988,19,21,1,10,0,0,5292920.333333333
989,19,21,1,11,0,0,4842053.666666667
990,19,21,1,12,0,0,3442453.3333333335
991,19,21,3,7,0,0,2074721.0
992,19,21,3,8,0,0,2557661.6666666665
993,19,21,3,9,0,0,2413814.0
994,19,22,0,5,0,0,2849885.6666666665
995,19,22,0,6,0,0,7513956.666666667
996,19,22,0,7,0,0,16028993.333333334
997,19,22,0,8,0,0,25082556.0
998,19,22,0,9,0,0,41068573.0
999,19,22,0,10,0,0,41559835.333333336
1000,19,22,0,11,0,0,38645922.333333336
1001,19,22,0,12,0,0,29507244.0
1002,19,22,0,13,0,0,17004121.0
1003,19,22,0,14,0,0,8550087.666666666
1004,19,22,0,15,0,0,3192750.6666666665
1005,19,22,2,7,0,0,3051879.3333333335
1006,19,22,2,8,0,0,3579523.3333333335
