,C,H,N,O,S,P,Intensity
927,18,26,0,7,0,0,11116081.0
928,18,26,0,8,0,0,14176938.666666666
929,18,26,0,9,0,0,12874979.666666666
930,18,26,0,10,0,0,8802596.0
931,18,26,0,11,0,0,4217423.333333333
932,18,26,0,12,0,0,2331846.0
934,19,14,0,14,0,0,5200044.0
935,19,14,0,15,0,0,3392584.0
936,19,16,0,10,0,0,13599618.666666666
937,19,16,0,11,0,0,13377032.666666666
938,19,16,0,12,0,0,12942795.666666666
939,19,16,0,13,0,0,11814892.333333334
940,19,16,0,14,0,0,9394545.0
941,19,16,0,15,0,0,6325614.0
942,19,16,0,16,0,0,3250460.6666666665
943,19,17,1,10,0,0,5165100.333333333
944,19,17,1,11,0,0,4993779.666666667
945,19,17,1,12,0,0,3611251.0
946,19,17,1,13,0,0,2405135.0
949,19,18,0,8,0,0,15229604.333333334
950,19,18,0,9,0,0,21572604.333333332
951,19,18,0,10,0,0,22528800.666666668
952,19,18,0,11,0,0,21207470.333333332
953,19,18,0,12,0,0,20480883.666666668
954,19,18,0,13,0,0,17343890.333333332
955,19,18,0,14,0,0,13141233.0
956,19,18,0,15,0,0,8074565.666666667
957,19,18,0,16,0,0,4122027.3333333335
958,19,18,2,10,0,0,4104899.6666666665
959,19,18,2,11,0,0,3737168.6666666665
961,19,19,1,8,0,0,4831125.666666667
962,19,19,1,9,0,0,6041439.0
963,19,19,1,10,0,0,5763383.666666667
964,19,19,1,11,0,0,5419170.0
965,19,19,1,12,0,0,4007615.0
966,19,19,1,13,0,0,2511495.0
969,19,20,0,7,0,0,12459689.666666666
970,19,20,0,8,0,0,20388873.666666668
971,19,20,0,9,0,0,33809608.333333336
972,19,20,0,10,0,0,33921675.333333336
973,19,20,0,11,0,0,31778102.333333332
974,19,20,0,12,0,0,27491944.333333332
975,19,20,0,13,0,0,20847428.0
976,19,20,0,14,0,0,13594752.0
977,19,20,0,15,0,0,6596898.666666667
980,19,20,2,8,0,0,4371003.333333333
981,19,20,2,9,0,0,4648121.333333333
982,19,20,2,10,0,0,4521421.333333333
983,19,20,2,11,0,0,3243502.3333333335
984,19,20,2,12,0,0,2210336.6666666665
987,19,21,1,9,0,0,5812621.0
988,19,21,1,10,0,0,5292920.333333333
989,19,21,1,11,0,0,4842053.666666667
990,19,21,1,12,0,0,3442453.3333333335
993,19,21,3,9,0,0,2413814.0
996,19,22,0,7,0,0,16028993.333333334
997,19,22,0,8,0,0,25082556.0
998,19,22,0,9,0,0,41068573.0
999,19,22,0,10,0,0,41559835.333333336
1000,19,22,0,11,0,0,38645922.333333336
1001,19,22,0,12,0,0,29507244.0
1002,19,22,0,13,0,0,17004121.0
1003,19,22,0,14,0,0,8550087.666666666
1004,19,22,0,15,0,0,3192750.6666666665
1007,19,22,2,9,0,0,3569075.6666666665
1008,19,22,2,10,0,0,3477707.0
1009,19,22,2,11,0,0,2286484.6666666665
1012,19,23,1,8,0,0,4649259.666666667
1013,19,23,1,9,0,0,4601055.333333333
1014,19,23,1,10,0,0,4174577.6666666665
1015,19,23,1,11,0,0,3269601.3333333335
